Sorter_by_Category,Type,Category,Name,Description,Price,ImageURL
1,General,Breads,Pulka,Soft Indian flatbread.,40,
1,General,Breads,Roti,Classic whole wheat roti.,50,
1,General,Breads,Butter Pulka,Soft pulka brushed with butter.,55,
1,General,Breads,Butter Roti,Whole wheat roti brushed with butter.,70,
1,General,Breads,Plain Naan,Soft and fluffy tandoori naan.,75,
1,General,Breads,Butter Naan,Naan enriched with butter.,85,
1,General,Breads,Garlic Naan,Naan flavored with garlic.,85,
1,General,Breads,Pudhina Naan,Mint flavored naan bread.,95,
1,General,Breads,Masala Kulcha,Stuffed kulcha with spices.,100,
1,General,Breads,Stuffed Kulcha,Kulcha filled with stuffing of choice.,100,
1,NonVeg,Soups,Chicken Hot & Sour Soup,Spicy and tangy chicken broth with vegetables.,180,ChickenHotandSourceSoup.jpg
1,NonVeg,Soups,Lemon Coriander Chicken Soup,Light chicken soup flavored with lemon and coriander.,180,ChickenLemonCorriandorSoup.jpg
1,NonVeg,Soups,Chicken Manchow Soup,A hearty chicken soup with bold Indo-Chinese spices.,180,ChickenManchowSoup.jpg
1,NonVeg,Soups,Chicken Sweetcorn Soup,Classic chicken and sweet corn soup.,180,ChickenSweetcornSoup.jpg
1,Veg,Soups,Lemon Coriander Soup,Refreshing soup with lemon zest and coriander aroma.,180,LemonCorriandorSoup.jpg
1,Veg,Soups,Veg. Hot & Sour Soup,Spicy and sour vegetable soup with a perfect balance of flavors.,180,VegHotandSourceSoup.jpg
1,Veg,Soups,Veg. Manchow Soup,A hot and tangy vegetable soup with Indo-Chinese flavors.,180,VegManchowSoup.jpg
1,Veg,Soups,Veg. Sweetcorn Soup,Creamy sweet corn blended with fresh vegetables.,180,VegSweetcornSoup.jpg
2,General,Sides,Boiled Eggs (2 Pcs),Two protein-rich boiled eggs.,40,
2,General,Sides,Plain Curd,Cooling plain curd.,40,
2,General,Sides,Green Salad,Fresh seasonal salad.,120,
2,General,Sides,Omelette,Fluffy omelette made to order.,120,
2,NonVeg,Starters,Chicken 65,South Indian style fried chicken with spices.,340,Chicken65.jpg
2,NonVeg,Starters,Chicken Manchurian,Crispy chicken balls in tangy manchurian sauce.,340,ChickenManchurian.JPG
2,NonVeg,Starters,Chilly Chicken,Stir-fried chicken tossed in chili sauce.,340,ChillyChicken.jpg
2,NonVeg,Starters,Garlic Chicken,Flavorful chicken stir-fried with garlic.,350,GarlicChicken.jpg
2,NonVeg,Starters,Ginger Chicken,Chicken tossed in a ginger-based sauce.,350,GingerChicken.jpg
2,NonVeg,Starters,Lemon Chicken,Crispy chicken flavored with lemon.,350,LemonChicken.jpg
2,NonVeg,Starters,Chicken Drumsticks (6 Pcs),Juicy chicken drumsticks fried to perfection.,365,ChickenDrumsticks(6Pcs).jpg
2,NonVeg,Starters,Chicken Lollypop (6 Pcs),Crispy chicken lollipops served with spicy sauce.,365,ChickenLollypop(6Pcs).jpg
2,NonVeg,Starters,Chicken Chilly Wings,Spicy chicken wings tossed with chili sauce.,365,ChickenChillyWings.jpg
2,NonVeg,Starters,Schezwan Chicken,Chicken stir-fried with bold schezwan flavors.,375,SchezwanChicken.jpg
2,NonVeg,Starters,Pepper Chicken,Pepper spiced chicken fry.,390,PepperChicken.jpg
2,NonVeg,Starters,Chicken 555,Popular spicy chicken fry from Andhra cuisine.,415,Chicken555.jpg
2,NonVeg,Starters,Chicken Fried Wings (9 Pcs),Crispy chicken wings fried golden.,415,ChickenFriedWings(9Pcs).jpg
2,NonVeg,Starters,Cashew Chicken,Chicken cooked with roasted cashews.,440,CashewChicken.jpg
2,NonVeg,Starters,Crispy Chicken,Deep fried chicken strips with crispy coating.,440,CrispyChicken.jpg
2,NonVeg,Starters,Crunchy Chicken,Crispy fried chicken with crunchy texture.,440,CrunchyChicken.jpg
2,NonVeg,Starters,Dragon Chicken,Spicy Indo-Chinese style dragon chicken.,440,DragonChicken.jpg
2,Veg,Starters,Baby Corn 65,South Indian style spiced and fried baby corn.,230,BabyCorn65.jpg
2,Veg,Starters,Baby Corn Manchurian,Baby corn fritters cooked in manchurian sauce.,230,BabyCornManchurian.jpg
2,Veg,Starters,Chilly Mushroom,Stir-fried mushrooms with chili sauce.,255,ChilliMushroom.jpg
2,Veg,Starters,Chilly Paneer,Paneer cubes cooked with chili and bell peppers.,260,chillipaneer.jpg
2,Veg,Starters,Chilly Baby Corn,Baby corn stir-fried with spicy chili sauce.,230,ChillyBabyCorn.jpg
2,Veg,Starters,Crispy American Corn,Crispy fried American corn tossed with spices.,230,CrispyAmericanCorn.jpg
2,Veg,Starters,Crispy Baby Corn,Golden fried baby corn in a crunchy coating.,260,CrispyBabyCorn.jpg
2,Veg,Starters,French Fries,Crispy golden fries served hot.,200,FrenchFries.jpg
2,Veg,Starters,KFC Paneer,Crispy battered paneer with a crunchy coating.,360,kfcpaneer.jpg
2,Veg,Starters,Mushroom 65,Crispy fried mushrooms in a spiced batter.,255,Mushroom65.jpg
2,Veg,Starters,Mushroom Manchurian,Mushroom balls in flavorful manchurian sauce.,250,MushroomManchurian.jpg
2,Veg,Starters,Paneer 65,Deep-fried paneer cubes tossed with spices.,260,paneer65.jpg
2,Veg,Starters,Paneer Fingers,Crunchy paneer sticks served with dip.,360,paneerfingers.jpg
2,Veg,Starters,Paneer Manchurian,Paneer cubes tossed in savory manchurian sauce.,260,PaneerManchurian.jpg
2,Veg,Starters,Veg Manchurian,Crispy veg dumplings tossed in tangy manchurian sauce.,230,VegManchurian.jpg
3,General,Hot Beverages,Special Coffee,Freshly brewed coffee.,50,
3,General,Hot Beverages,Special Tea,Fragrant hot tea.,50,
3,General,Hot Beverages,Hot Badam Milk,Warm almond milk.,120,
3,NonVeg,Tandoor Starters,Tandoori Chicken Full,Full portion of classic tandoori chicken.,630,TandooriChickenFull.jpg
3,NonVeg,Tandoor Starters,Tangdi Kabab Half,"Half portion of tangdi kabab, smoky & juicy.",230,chickenthangdikababhalf.jpg
3,NonVeg,Tandoor Starters,Tandoori Chicken Half,Half portion of classic tandoori chicken.,370,TandooriChickenHalf.jpg
3,NonVeg,Tandoor Starters,Chicken Tikka 8 pcs,Tender chicken pieces grilled with spices.,390,ChickenTikka8pcs.jpg
3,NonVeg,Tandoor Starters,Murg Malai Kabab 8 pcs,Creamy marinated chicken cooked in tandoor.,415,MurgMalaiKabab8pcs.jpg
3,NonVeg,Tandoor Starters,Tandoori Prawn,Juicy prawns marinated and grilled in tandoor.,450,TandooriPrawn.jpg
3,NonVeg,Tandoor Starters,Tangdi Kabab Full,"Full portion of tangdi kabab, smoky & juicy.",450,chickenthangdikababfull.jpg
3,Veg,Tandoor Starters,Paneer Tikka,Marinated paneer cubes grilled in tandoor.,400,paneertikka.jpg
3,Veg,Tandoor Starters,Paneer Malai Tikka,Creamy marinated paneer cooked in clay oven.,415,paneermalaitikka.jpg
4,General,Cold Beverages,Water Bottle,Refreshing bottled water.,25,
4,General,Cold Beverages,Nimboo Pani,Chilled lemon drink with a sweet-salty kick.,70,
4,General,Cold Beverages,Cold Badam Milk,Chilled almond-flavored milk.,120,
4,General,Cold Beverages,Mango Milk Shake,Creamy mango milkshake.,120,
4,Veg,Biryanis,Veg Biryani,Fragrant biryani with seasonal vegetables.,275,
4,Veg,Biryanis,Avakai Biryani,Spicy veg biryani with avakai pickle flavor.,325,
4,Veg,Biryanis,Ulavacharu Biryani,Traditional veg biryani with ulavacharu.,325,
4,Veg,Biryanis,Cashew Biryani,Biryani with cashew nut richness.,365,
4,Veg,Biryanis,Spl. Veg Biryani,Special biryani with paneer/mixed veg/mushroom.,375,
5,NonVeg,Sea Food,Apollo Fish,Crispy fried fish tossed in tangy masala.,440,ApolloFish.jpg
5,NonVeg,Sea Food,Loose Prawns,Simple fried prawns seasoned to perfection.,465,LoosePrawns.jpg
5,NonVeg,Sea Food,Prawn Roast,Dry-roasted prawns coated in spicy masala.,465,PrawnsRoast.jpg
5,NonVeg,Sea Food,Chilly Garlic Fish,Fish in a spicy garlic-chili sauce.,350,chilligarlicfish.jpg
5,NonVeg,Sea Food,Butter Garlic Fish,Golden fried fish with butter-garlic glaze.,440,ButterGarlicFish.jpg
5,NonVeg,Sea Food,Butter Garlic Prawn,Juicy prawns glazed with butter and garlic.,440,ButterGarlicPrawn.jpg
5,NonVeg,Sea Food,Chilly Garlic Prawn,Prawns tossed in zesty garlic-chili sauce.,440,ChillyGarlicPrawn.jpg
5,NonVeg,Sea Food,Schezwan Prawn,Prawns cooked in fiery Schezwan sauce.,440,SchezwanPrawn.jpg
5,Veg,Curries,Dal Fry,Yellow lentils tempered with spices.,220,
5,Veg,Curries,Dal Thadka,Spicy tempered dal preparation.,230,
5,Veg,Curries,Green Peas Masala,Green peas cooked in spiced gravy.,250,
5,Veg,Curries,Kadai Veg,Vegetable curry cooked in kadai spices.,250,
5,Veg,Curries,Mixed Veg Curry,Mixed vegetables cooked in curry sauce.,250,
5,Veg,Curries,Veg Butter Masala,Rich buttery curry with mixed veggies.,250,
5,Veg,Curries,Babycorn Masala,Babycorn cooked in flavorful masala.,270,
5,Veg,Curries,Veg Chettinad,Chettinad-style spicy vegetable curry.,280,
5,Veg,Curries,Veg Jaipoori,Traditional Jaipuri style vegetable curry.,280,
5,Veg,Curries,Veg Kolhapuri,Fiery veg curry in Kolhapuri style.,280,
5,Veg,Curries,Mushroom Masala,Spiced curry made with mushrooms.,285,
5,Veg,Curries,Kadai Paneer,Paneer cooked in kadai style spices.,290,
5,Veg,Curries,Mutter Paneer Masala,Green peas and paneer cooked in gravy.,290,
5,Veg,Curries,Paneer Butter Masala,Classic rich butter gravy with paneer.,290,
5,Veg,Curries,Methi Chaman,Paneer and greens cooked in spiced curry.,320,
5,Veg,Curries,Paneer Chettinad,Chettinad style paneer curry.,320,
5,Veg,Curries,Cashew Tomato Curry,Cashew and tomato-based curry.,350,
5,Veg,Curries,Paneer Keema Masala,Paneer cooked like keema in spicy gravy.,350,
5,Veg,Curries,Cashew Masala,Cashew nut curry in a spiced base.,375,
5,Veg,Curries,Cashew Paneer,Paneer cooked with cashew-rich gravy.,375,
6,NonVeg,Biryanis,Chi. Boneless Biryani,Fragrant biryani with tender boneless chicken.,350,ChickenBonelessBiryani.jpg
6,NonVeg,Biryanis,Chi. Dum Biryani,Classic chicken dum biryani cooked on a slow flame.,315,ChickenDumBiryani.JPG
6,NonVeg,Biryanis,Chi. Fry Biryani,Biryani served with crispy fried chicken pieces.,325,ChickenFryBiryani.jpg
6,NonVeg,Biryanis,Chi. Mughlai Biryani,Rich chicken biryani infused with Mughlai spices.,375,ChickenMughalaiBiryani.jpg
6,NonVeg,Biryanis,Tandoori Double Joint Biryani,Grand biryani topped with double tandoori joints.,550,TandooriDoubleJointBiryani.jpg
6,NonVeg,Biryanis,Dum Rice,Slow-cooked dum style rice layered with spices.,215,
6,NonVeg,Biryanis,Egg Biryani,Aromatic biryani layered with spiced eggs.,275,
6,NonVeg,Biryanis,Chi. Avakai Biryani,Spicy chicken biryani with avakai pickle flavor.,400,
6,NonVeg,Biryanis,Fish Biryani,Traditional biryani with seasoned fish.,400,
6,NonVeg,Biryanis,Prawn Biryani,Flavorful biryani layered with marinated prawns.,400,
6,NonVeg,Biryanis,Spl. Chicken Biryani,Special house-style chicken biryani.,400,
6,NonVeg,Biryanis,Chi. Keema Biryani,Minced chicken biryani cooked with rich spices.,425,
6,NonVeg,Biryanis,Chi. Tikka Biryani,Biryani topped with juicy chicken tikka.,425,
6,NonVeg,Biryanis,Chi. Ulavacharu Biryani,Unique chicken biryani with ulavacharu gravy.,425,
6,NonVeg,Biryanis,Fish Avakai Biryani,Fish biryani infused with avakai spice.,425,
6,NonVeg,Biryanis,Gongura Chi. Biryani,Tangy chicken biryani with gongura leaves.,425,
6,NonVeg,Biryanis,Prawn Avakai Biryani,Prawn biryani spiked with avakai flavors.,425,
6,NonVeg,Biryanis,Tandoori Joint Biryani,Biryani loaded with smoky tandoori chicken joints.,425,
6,NonVeg,Biryanis,Gongura Prawn Biryani,Prawn biryani flavored with gongura greens.,440,
6,NonVeg,Biryanis,Kalmi Chicken Biryani,Biryani with succulent kalmi chicken pieces.,440,
6,NonVeg,Biryanis,Prawn Mughlai Biryani,Royal-style prawn biryani with rich spices.,440,
6,NonVeg,Biryanis,Mutton Fry Biryani,Biryani with spiced fried mutton pieces.,475,
6,NonVeg,Biryanis,Gongura Mutton Biryani,Mutton biryani cooked with gongura gravy.,500,
6,NonVeg,Biryanis,Mutton Mughlai Biryani,Rich Mughlai-style mutton biryani.,500,
6,NonVeg,Biryanis,Mutton Ulavacharu Biryani,Mutton biryani blended with ulavacharu.,500,
6,NonVeg,Biryanis,Mixed Mughlai Biryani,Assorted meats in a decadent Mughlai biryani.,525,
6,Veg,Rices,Plain Rice,Steamed plain rice.,110,
6,Veg,Rices,Steam Rice,Simple steamed rice.,120,
6,Veg,Rices,Curd Rice,Cooling rice with yogurt.,180,
6,Veg,Rices,Veg Fried Rice,Classic fried rice with vegetables.,300,
6,Veg,Rices,Cashew Fried Rice,Rice tossed with cashew nuts.,350,
6,Veg,Rices,Jeera Rice,Rice flavored with cumin seeds.,350,
6,Veg,Rices,Sweet Corn Fried Rice,Fried rice with sweet corn.,350,
6,Veg,Rices,Spl. Fried Rice,"Special fried rice with paneer, mushroom or babycorn.",360,
7,NonVeg,Curries,Mutton Fry,Fried mutton pieces.,500,muttonfry.jpg
7,NonVeg,Curries,Egg Bhurji,Scrambled eggs cooked with spices.,200,
7,NonVeg,Curries,Egg Masala,Egg curry in spiced masala gravy.,225,
7,NonVeg,Curries,Chicken Curry Bone,Traditional chicken curry with bone.,315,
7,NonVeg,Curries,Chicken Curry B/L,Boneless chicken curry.,340,
7,NonVeg,Curries,Chicken Fry Bone,Spiced chicken fry with bone.,340,
7,NonVeg,Curries,Kadai Chicken,Chicken cooked with kadai spices.,340,
7,NonVeg,Curries,Chicken Chettinad,Chettinad-style spicy chicken curry.,350,
7,NonVeg,Curries,Chicken Fry Boneless,Boneless fried chicken curry.,375,
7,NonVeg,Curries,Butter Chicken Curry,Classic butter chicken curry.,390,
7,NonVeg,Curries,Chicken Moghalai Curry,Mughlai-style chicken curry.,390,
7,NonVeg,Curries,Gongura Chicken Bone,Chicken curry cooked with gongura leaves.,390,
7,NonVeg,Curries,Cashew Chicken Curry,Chicken curry with cashew-rich gravy.,400,
7,NonVeg,Curries,Fish Curry Boneless,Boneless fish curry.,425,
7,NonVeg,Curries,Fish Fry Boneless,Boneless fish fry.,425,
7,NonVeg,Curries,Prawn Curry,Spicy prawn curry.,425,
7,NonVeg,Curries,Mutton Curry,Classic mutton curry with spices.,440,
7,NonVeg,Curries,Prawn Gongura Curry,Prawn curry cooked with gongura.,440,
7,NonVeg,Curries,Prawn Moghali Curry,Mughlai-style prawn curry.,440,
7,NonVeg,Curries,Mutton Gongura,Mutton curry cooked with gongura.,465,
7,NonVeg,Curries,Mutton Moghali Curry,Rich Mughlai-style mutton curry.,465,
7,NonVeg,Curries,Prawn Fry,Fried prawns with spices.,465,
8,NonVeg,Rices,Egg Fried Rice,Stir-fried rice tossed with fluffy eggs.,265,
8,NonVeg,Rices,Chicken Fried Rice,Wok-tossed rice with juicy chicken.,300,
8,NonVeg,Rices,Prawn Fried Rice,Fried rice packed with prawns.,340,
8,NonVeg,Rices,Spl. Chicken Fried Rice,Signature chicken fried rice with extra flavor.,365,
8,NonVeg,Rices,Spl. Prawn Fried Rice,Special prawn fried rice with bold seasoning.,390,
8,NonVeg,Rices,Mix. Non Veg Fried Rice,Combination fried rice with assorted meats.,435,
1,General,Tiffins,Idly,Soft and fluffy steamed rice cakes served with chutney and sambar.,60,
1,General,Tiffins,Vada,Crispy golden medu vada served with chutney and sambar.,70,
1,General,Tiffins,Mysore Bonda,Soft and crispy Mysore bonda served hot with chutney.,70,
1,General,Tiffins,Onion Bonda,Crispy onion fritters served with chutney.,70,
1,General,Tiffins,Plain Dosa,Golden crispy dosa served with chutney and sambar.,70,
1,General,Tiffins,Masala Dosa,Crispy dosa stuffed with flavorful potato masala.,90,
1,General,Tiffins,Onion Dosa,Crispy dosa topped with freshly chopped onions.,90,
1,General,Tiffins,Poori,Fluffy deep-fried poori served with potato curry.,100,
